x,y,uref
0.0,0.0,0.4
0.0205,0.0,0.41
0.0415,0.0,0.42
0.063,0.0,0.43
0.085,0.0,0.44
0.1075,0.0,0.45
0.1305,0.0,0.46
0.154,0.0,0.47
0.178,0.0,0.48
0.2025,0.0,0.49
0.2275,0.0,0.5
0.253,0.0,0.51
0.279,0.0,0.52
0.3055,0.0,0.53
0.3325,0.0,0.54
0.36,0.0,0.55
0.388,0.0,0.56
0.4165,0.0,0.57
0.4455,0.0,0.58
0.475,0.0,0.59
0.505,0.0,0.6
0.5355,0.0,0.61
0.5665,0.0,0.62
0.598,0.0,0.63
0.63,0.0,0.64
0.6625,0.0,0.65
0.6955,0.0,0.66
0.729,0.0,0.67
0.763,0.0,0.68
0.7975,0.0,0.69
0.8325,0.0,0.7
0.868,0.0,0.71
0.904,0.0,0.72
0.9405,0.0,0.73
0.9775,0.0,0.74
1.015,0.0,0.75
1.053,0.0,0.76
1.0915,0.0,0.77
1.1305,0.0,0.78
1.17,0.0,0.79
1.21,0.0,0.8
1.25,0.0,0.8
1.29,0.0,0.8
1.33,0.0,0.8
1.37,0.0,0.8
1.41,0.0,0.8
1.45,0.0,0.8
1.49,0.0,0.8
1.53,0.0,0.8
1.57,0.0,0.8
1.61,0.0,0.8
1.65,0.0,0.8
1.69,0.0,0.8
1.73,0.0,0.8
1.77,0.0,0.8
1.81,0.0,0.8
1.85,0.0,0.8
1.89,0.0,0.8
1.93,0.0,0.8
1.97,0.0,0.8
2.01,0.0,0.8
2.05,0.0,0.8
2.09,0.0,0.8
2.13,0.0,0.8
2.17,0.0,0.8
2.21,0.0,0.8
2.25,0.0,0.8
2.29,0.0,0.8
2.33,0.0,0.8
2.37,0.0,0.8
2.41,0.0,0.8
2.45,0.0,0.8
2.49,0.0,0.8
2.53,0.0,0.8
2.57,0.0,0.8
2.61,0.0,0.8
2.65,0.0,0.8
2.69,0.0,0.8
2.73,0.0,0.8
2.77,0.0,0.8
2.81,0.0,0.8
2.85,0.0,0.8
2.89,0.0,0.8
2.93,0.0,0.8
2.97,0.0,0.8
3.01,0.0,0.8
3.05,0.0,0.8
3.09,0.0,0.8
3.13,0.0,0.8
3.17,0.0,0.8
3.21,0.0,0.8
3.25,0.0,0.8
3.29,0.0,0.8
3.33,0.0,0.8
3.37,0.0,0.8
3.41,0.0,0.8
3.45,0.0,0.8
3.49,0.0,0.8
3.53,0.0,0.8
3.57,0.0,0.8
3.61,0.0,0.8
3.65,0.0,0.8
3.69,0.0,0.8
3.73,0.0,0.8
3.77,0.0,0.8
3.81,0.0,0.8
3.85,0.0,0.8
3.89,0.0,0.8
3.93,0.0,0.8
